Rank,Wallet,Owner,Balance,XRP Locked,Percentage,Total Balance
168,raMRJ2d3djqwSUBK28W31R7aJQfK21zU1C,Coinbase (Cold 456),29532544,,0.03,29532544
169,rGG4LZruYFJ34PNCi1doapgA1hynz3gxX7,Coinbase (Cold 125),29532544,,0.03,29532544
170,rBxDDgkamywW7WRegN4gVrGMwHTbdhnt8w,Coinbase (Cold 323),29532544,,0.03,29532544
171,r9mkuV6bpvok7SZ8Zargiw5KzZHDFbaApy,Coinbase (Cold 285),29532544,,0.03,29532544
172,rnVcQzWJP2sJbJF3GgvdAeqveW1V7dT2Vq,Coinbase (Cold 283),29532544,,0.03,29532544
173,rNSFNMo5kfmZWR5Ryb3ZVEMm1ZncxwzMqa,,29404515,,0.03,29404515
174,rLW9gnQo7BQhU6igk5keqYnH3TVrCxGRzm,Bitfinex (1),29128366,500,0.03,29128866
175,rnnFFYfPTLBqqeQfsvmyjKKKsK8FCp4Y4R,,27983802,,0.03,27983802
176,rntSEfdZsxinHymMJDTbxFfZcgwPLBtPb9,,27983801,,0.03,27983801
177,r3Yg4mv2YyBkgdUvctgbnTYtYu3w69rVAS,,27983800,,0.03,27983800
178,rf9HoxMbbc7esbskFxdvjpPgjVdtRb4Mru,,27983800,,0.03,27983800
179,rMC8Gih4GNNJL2QNbyfNHYEwjneX1LHdcc,,27875010,,0.03,27875010
180,rsgwNP2cyRHAcEbuRmboDQ4pmgemMNVZR3,,27847007,,0.03,27847007
181,rPgeFVvofU6zAL6L4AMfgKYQUtUoPeiQbV,,27551278,,0.03,27551278
182,rBRaRTaq99U216NSDt7dFRrfzAtZzyrgS6,Coinbase (Cold 188),27108604,,0.03,27108604
183,rPkUBHkNA41SDWk4RWuXUtKqHJb1oBARiv,,27066768,,0.03,27066768
184,rsVDKTbUceVQqNKrSzYj8HtkVcS7TuRWSN,Coinbase (Cold 36),27047891,,0.03,27047891
185,rBj8PDBTKKuXWJaWbaEtdkV8hq4oxRWhsB,Coinbase (Cold 392),27028666,,0.03,27028666
186,rMJbEvjzqVeGJHs5ySZvuF2dHhWKx69t6G,Coinbase (Cold 100),26951693,,0.03,26951693
187,rw4rHH5LrTUZ5WDXieCPT14E89PwnmXtoV,Coinbase (Cold 48),26897003,,0.03,26897003
188,rNbMpc8JgLKnXs51KVYAmt4zbDvE8kgQEi,Coinbase (Cold 232),26897003,,0.03,26897003
189,rBiCL18zasvY9e8M2ZSub6gyYfzmfK4356,,26700010,,0.03,26700010
190,rnaxGortNCoxkWUq18jCGmQDeCrLBmiz42,Coinbase (Cold 92),26671745,,0.03,26671745
191,rf9CWxJKUwHm4eZo3Z8SHi6Z1D6RoqFqqq,Coinbase (Cold 196),26671745,,0.03,26671745
192,rMsfxSZfdj3F1vBeVRte6b83LMV4AtZAHX,Coinbase (Cold 434),26671745,,0.03,26671745
193,rKmcvfZ4AeVCsJDNLZg3Xwbs86F33sC6bR,Coinbase (Cold 78),26671745,,0.03,26671745
194,rhyp1uMC9Xyj3Px8amUH3xVv6tbjYJkojs,Ripple (35),26575132,,0.03,26575132
195,rGMrBbRhpBLhZMzEKQTqhfGQnaTHhrfZCw,,26444454,,0.03,26444454
196,r9YMphxsqY1CQckqzDwfsutJhs9CwbWh97,,26399087,,0.03,26399087
197,rnYzsCmvD35kBntkY5g4kf7hStMGKSQfwz,Coinbase (Cold 149),26371811,,0.03,26371811
198,rDecw8UhrZZUiaWc91e571b3TL41MUioh7,Binance (16),26262461,,0.03,26262461
199,rJQC2RzzALgus6ZZgu34nXnpz67v3bRSzi,Coinbase (Cold 210),25526876,,0.03,25526876
200,rGoDpsHfkkSvNatyXHZPiJk7qydd7uahQz,Coinbase (Cold 183),25498189,,0.03,25498189
201,r939VcVXx5Zx9wJ1TL61StPEKaqaYf75XQ,Coinbase (Cold 104),25498189,,0.03,25498189
202,r9rg8WT6KPXE8FGYbsGG6YaEG6wrbLxqF9,Coinbase (Cold 206),25498189,,0.03,25498189
203,raQ3drgGw2eFHTnck6SZxKe2JhQr8Lm8w1,Coinbase (Cold 108),25498189,,0.03,25498189
204,rwvzy5nyGYfQKrgRFARGda6uCtnxLyGRBA,,25376427,,0.03,25376427
205,rwKpWJ54xAZFm5DTr7GUjREx6AK3MpAfae,,25245341,,0.03,25245341
206,rJnUXy7x3RW58Kien2eFtZEY2Pa3HBvpQ2,,25195200,,0.03,25195200
207,rNYW2bie6KwUSYhhtcnXWzRy5nLCa1UNCn,Bitrue Insurance Fund,25038857,,0.03,25038857
208,rPGnixkUqn7gSgj8MfdUt9S2vjqfT9Lrnw,,25000051,,0.03,25000051
209,r4UuSEwzgjY5CugYNEWqA49hxvvE9ivJne,,25000001,,0.03,25000001
210,rLFcVmFnZXEds2qQ4WH8A5U7xaKEzzkrBa,,25000001,,0.03,25000001
211,rp5kDwvghkEVQa48Yc7dyeBK6GUZfrdxYe,,25000000,,0.03,25000000
212,rftUgG8yQLcSRecihGfPsRPez6g7ap7yz2,,25000000,,0.03,25000000
213,rwo9VH8iyq89ZaEipFsFsLgSrMABUkbBVY,,25000000,,0.03,25000000
214,rscK4E94r6KHfPxMCqpH5SB9q5M1NQDtAn,,25000000,,0.03,25000000
215,r38387ANCJNTnfEeJXZ8DMEsCq9g28w7qJ,,25000000,,0.03,25000000
216,rnxe6F9Vtqtb9RNoKxuPtgrttEtFHM1aiA,,24954962,,0.03,24954962
217,rM7mvLE99LSt5DE7GvcnHVEgefzCZL2T4x,,24400000,,0.02,24400000
218,rE3Cc3i6163Qzo7oc6avFQAxQE4gyCWhGP,Bitkub (3),24264203,,0.02,24264203
219,rp8Ygdyi2u7DZuMbchpFKBpsgSeg4LXDFQ,,23839902,,0.02,23839902
220,rNUSc5uLSSjf5jrzwPL4TsVab2QM62pgwX,,23599978,,0.02,23599978
221,rJ1v4yzovV2BpDav4MegBeejPgwmPZZCNa,,23386355,,0.02,23386355
222,rJLsUWGG45Qb4fkJjFuxASdzrJh5gqD2TW,,23225000,,0.02,23225000
223,rsCRCZmdw55EdXXAsQYExFLH5zrvbaFaAm,,23202180,,0.02,23202180
224,rp1edBgyjbAsjXXHrhGtGUK2v6D6XhMTwc,,22716774,,0.02,22716774
225,rJNVodKWXZMZfCd7BGGJpPYPuCdWHyNBq1,,22700000,,0.02,22700000
226,r9YMtQKy8uBkV66cyCvwiixmqE1VSudoBE,,22242279,,0.02,22242279
227,rEMjkJvtZ84uZYU7EpX8GYVbN2BrscTE9Z,,22117918,,0.02,22117918
228,rGzwBVxutLLaxfeE4mJWrxHX1SMRxjo7Am,,21900000,,0.02,21900000
229,rPmu958m6DTNZ6qfTJbLisHSv3w6BaJrgh,,21606660,,0.02,21606660
230,r4vVDzQJsT7HqmPoJy21RGJVUBFUXsQSXT,,21210083,,0.02,21210083
231,rnWnrbjNw5Ezdqy51a769Rror8U3xRkYxK,Coinbase (Cold 137),20525459,,0.02,20525459
232,rJR2LhwvGW1o5pGKix932ygARegeBGrUf5,,20449743,,0.02,20449743
233,rP4nVwhU3vqwxrPomeBems5h9ZbH2236gU,,20422105,,0.02,20422105
234,rEENamLrBTUw52GMUjwaogKzonHScXTGyy,,20332635,,0.02,20332635
235,rfoQcefqg2eWkR73GTCiqgG1zbii8a2WQJ,,20174510,,0.02,20174510
236,r3F5NsyiGwVYs2Rs3cCcrVw4t5wZP2ZxRr,Ripple (6),20000105,,0.02,20000105
237,rDK26ASe17eR4ZJafRzgJxeSJNwAhziAee,,20000035,,0.02,20000035
238,rKe7pZPwdKEubmEDCAu9djJVsQfK4Atmzr,,20000001,,0.02,20000001
239,rNu9U5sSouNoFunHp9e9trsLV6pvsSf54z,Gate.io (4),19923000,,0.02,19923000
240,rDsbeomae4FXwgQTJp9Rs64Qg9vDiTCdBv,Bitstamp (1),19654506,500,0.02,19655006
241,rPEPYN8sHU3cytBwVm69qPbVztaoj7wNf,Mercado Bitcoin (3),19628179,,0.02,19628179
242,rE9Y3vr1G91YVU8RogzdY84xb48N3rKnvE,,19481792,,0.02,19481792
243,rwSgtqHqWtQGb2SduQQNfwRa1YK9AMtQrR,,19418357,,0.02,19418357
244,r3KfqsuMjp85ddhNN2xNAAbmrNKUgFbcpk,,19369746,,0.02,19369746
245,rHpmLokR3S5DVvHDDrKzGmhy73USWAV82R,,18990016,,0.02,18990016
246,rETGh3sCUHgXxru589FrpFQK9CJgBWj8Kw,,18948197,,0.02,18948197
247,r93oSNBKuFjuKt8GxhF8VYaGzzwsNDPaX5,Ripple (31),18744808,,0.02,18744808
248,r4qg4tANY3iXLchsFSm62mc2wmQyKvX3qf,,18400000,,0.02,18400000
249,rDPsqUeQCjkgfVJe2GEdxq9k8zwAx3YAkz,,18300000,,0.02,18300000
250,rhw8wP5dNi5xtRS4ne5kdtxsejf8W2M7iD,,18300000,,0.02,18300000
251,r4Pr9aBnqN84hbkmJo4HwUtLj63E5vGFyE,,17960406,,0.02,17960406
252,rLoD9U2ghXP2xUYbtML6G6v1p8LhM9mSnc,,17939408,,0.02,17939408
253,rDvdAQYaU8EnKH7c6F4W51ywWV58dJCWCx,,17799978,,0.02,17799978
254,rUzUMfsvSYxj9nMHRnSeYQXkY1rfoXgdZN,,17673785,,0.02,17673785
255,rUHDGGUSVPS6HcGrr5r67EQ4LTC4Kis3HR,,17643306,,0.02,17643306
256,r3EjD8wKrtWbsjZxaSfAoifEDWosh49Twe,,17137068,,0.02,17137068
257,raHzpPMCZKQpYBpwxXTbak2ZhYp89fjTS3,,16999956,,0.02,16999956
258,rwTjgH22nenAtDpPWy4g7xPhBqhVU845Az,Coinbase (Cold 265),16830264,,0.02,16830264
259,rBAzrxLFZSqni5K67kPqX3WN7VLDTcUVWJ,Coinbase (Cold 375),16820747,,0.02,16820747
